dataset,algo,train_frac,r_candidates,p_partially_labeled,eps_coocc,seed,train_acc,test_acc,train_mcc,test_mcc,train_frac_guessing,test_frac_guessing,train_frac_sure,test_frac_sure,train_acc_sure,test_acc_sure,train_mcc_sure,test_mcc_sure,runtime
bird-song,chance,0.8,-1,-1.0,-1.0,0,0.601712,0.087525,0.541713,0.007460,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.147657
bird-song,chance,0.8,-1,-1.0,-1.0,1,0.590989,0.080564,0.530176,-0.005905,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139551
bird-song,chance,0.8,-1,-1.0,-1.0,2,0.591493,0.080564,0.531051,-0.006838,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125154
bird-song,chance,0.8,-1,-1.0,-1.0,3,0.589982,0.095670,0.527841,0.014617,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.141157
bird-song,chance,0.8,-1,-1.0,-1.0,4,0.582935,0.060423,0.521542,-0.023341,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152080
bird-song,clpl-2011,0.8,-1,-1.0,-1.0,0,0.792296,0.594567,0.765261,0.549212,0.000000,0.000000,0.518127,0.550302,0.916910,0.806216,0.892601,0.763649,21.147340
bird-song,clpl-2011,0.8,-1,-1.0,-1.0,1,0.782280,0.632427,0.754584,0.576481,0.000000,0.000000,0.533602,0.586103,0.919811,0.836770,0.898763,0.792419,12.475299
bird-song,clpl-2011,0.8,-1,-1.0,-1.0,2,0.779008,0.619335,0.751728,0.565459,0.000000,0.000000,0.542411,0.605237,0.906265,0.800333,0.883100,0.753519,13.612410
bird-song,clpl-2011,0.8,-1,-1.0,-1.0,3,0.778505,0.619335,0.750164,0.571145,0.000000,0.000000,0.530330,0.565962,0.909824,0.800712,0.884648,0.758226,10.857695
bird-song,clpl-2011,0.8,-1,-1.0,-1.0,4,0.770199,0.626385,0.741323,0.574334,0.000000,0.000000,0.517745,0.569990,0.912008,0.830389,0.886882,0.789055,14.057832
bird-song,dst-pll,0.8,-1,-1.0,-1.0,0,0.803374,0.653924,0.773227,0.605685,0.078802,0.056338,0.635448,0.418511,0.934628,0.918269,0.916659,0.891105,0.408019
bird-song,dst-pll,0.8,-1,-1.0,-1.0,1,0.804682,0.689829,0.775604,0.641851,0.082306,0.056395,0.625220,0.414904,0.942432,0.978155,0.926785,0.967436,0.391114
bird-song,dst-pll,0.8,-1,-1.0,-1.0,2,0.794865,0.680765,0.764888,0.630381,0.083816,0.073515,0.628744,0.401813,0.939552,0.962406,0.923348,0.945455,0.414632
bird-song,dst-pll,0.8,-1,-1.0,-1.0,3,0.803423,0.668681,0.773660,0.620380,0.088346,0.062437,0.639064,0.407855,0.938952,0.920988,0.922421,0.896654,0.416479
bird-song,dst-pll,0.8,-1,-1.0,-1.0,4,0.810722,0.696878,0.783384,0.649026,0.078530,0.051360,0.624717,0.411883,0.937550,0.965770,0.920785,0.950911,0.408832
bird-song,ipal-2015,0.8,-1,-1.0,-1.0,0,0.842900,0.726358,0.819313,0.689285,0.000000,0.000000,0.952165,0.840040,0.865151,0.803593,0.843777,0.774550,102.125314
bird-song,ipal-2015,0.8,-1,-1.0,-1.0,1,0.841178,0.745217,0.818095,0.705275,0.000000,0.000000,0.949157,0.832830,0.865553,0.829504,0.844912,0.799657,98.005486
bird-song,ipal-2015,0.8,-1,-1.0,-1.0,2,0.846464,0.725076,0.824286,0.681531,0.000000,0.000000,0.954694,0.837865,0.865805,0.807692,0.845717,0.774477,98.274826
bird-song,ipal-2015,0.8,-1,-1.0,-1.0,3,0.854518,0.721047,0.833005,0.681083,0.000000,0.000000,0.956456,0.844914,0.873421,0.811681,0.853997,0.782644,99.066155
bird-song,ipal-2015,0.8,-1,-1.0,-1.0,4,0.848981,0.737160,0.827481,0.695776,0.000000,0.000000,0.953939,0.805639,0.869129,0.856250,0.849595,0.831565,98.877297
bird-song,lsb-cmm-2012,0.8,-1,-1.0,-1.0,0,0.812941,0.657948,0.786729,0.613849,0.000000,0.000000,0.969789,0.561368,0.826584,0.899642,0.801427,0.875065,138.990253
bird-song,lsb-cmm-2012,0.8,-1,-1.0,-1.0,1,0.812988,0.670695,0.787330,0.619219,0.000000,0.000000,0.976340,0.640483,0.824955,0.872642,0.800116,0.841133,142.484721
bird-song,lsb-cmm-2012,0.8,-1,-1.0,-1.0,2,0.803423,0.659617,0.776517,0.604329,0.000000,0.000000,0.956959,0.611279,0.825881,0.858320,0.800184,0.822612,139.924846
bird-song,lsb-cmm-2012,0.8,-1,-1.0,-1.0,3,0.806695,0.675730,0.779832,0.630925,0.000000,0.000000,0.969796,0.631420,0.822995,0.859649,0.797307,0.830737,138.884303
bird-song,lsb-cmm-2012,0.8,-1,-1.0,-1.0,4,0.806443,0.668681,0.780412,0.622561,0.000000,0.000000,0.967783,0.627392,0.823927,0.908507,0.799062,0.885535,143.397733
bird-song,m3pl-2016,0.8,-1,-1.0,-1.0,0,0.879154,0.698189,0.861896,0.660985,0.000000,0.000000,0.630161,0.655936,0.950459,0.866564,0.939706,0.842993,183.204343
bird-song,m3pl-2016,0.8,-1,-1.0,-1.0,1,0.878429,0.696878,0.861958,0.650878,0.000000,0.000000,0.628996,0.689829,0.949980,0.856934,0.939684,0.827212,137.228443
bird-song,m3pl-2016,0.8,-1,-1.0,-1.0,2,0.873144,0.683787,0.855792,0.640168,0.000000,0.000000,0.638309,0.682779,0.948344,0.814159,0.937908,0.778738,155.511511
bird-song,m3pl-2016,0.8,-1,-1.0,-1.0,3,0.877171,0.694864,0.860007,0.655105,0.000000,0.000000,0.635792,0.682779,0.952494,0.837758,0.942447,0.811338,128.353416
bird-song,m3pl-2016,0.8,-1,-1.0,-1.0,4,0.872640,0.721047,0.855497,0.679899,0.000000,0.000000,0.629499,0.711984,0.947621,0.859972,0.936861,0.833827,178.183957
bird-song,paloc-2018,0.8,-1,-1.0,-1.0,0,0.758812,0.622736,0.729411,0.592924,0.007805,0.005030,0.823766,0.000000,0.829156,0.000000,0.801627,0.000000,34.593740
bird-song,paloc-2018,0.8,-1,-1.0,-1.0,1,0.743015,0.645519,0.713854,0.604164,0.005789,0.005035,0.826579,0.000000,0.807247,0.000000,0.778501,0.000000,33.757283
bird-song,paloc-2018,0.8,-1,-1.0,-1.0,2,0.738736,0.624371,0.707376,0.577761,0.007048,0.007049,0.820035,0.000000,0.811234,0.000000,0.781658,0.000000,36.598914
