dataset,algo,train_frac,k,seed,train_acc,test_acc,train_mcc,test_mcc,train_frac_guessing,test_frac_guessing,train_frac_sure,test_frac_sure,train_acc_sure,test_acc_sure,train_mcc_sure,test_mcc_sure,runtime
bird-song,dst-pll,0.8,1,0,0.673716,0.450704,0.622903,0.374026,0.482377,0.693159,0.336103,0.000000,1.000000,0.000000,1.000000,0.000000,0.192278
bird-song,dst-pll,0.8,1,1,0.671281,0.472306,0.621112,0.388422,0.491316,0.654582,0.328215,0.000000,1.000000,0.000000,1.000000,0.000000,0.196899
bird-song,dst-pll,0.8,1,2,0.667254,0.484391,0.616358,0.409039,0.491316,0.656596,0.326957,0.000000,1.000000,0.000000,1.000000,0.000000,0.200585
bird-song,dst-pll,0.8,1,3,0.665995,0.458207,0.614626,0.382324,0.488548,0.706949,0.331739,0.000000,1.000000,0.000000,1.000000,0.000000,0.196376
bird-song,dst-pll,0.8,1,4,0.672288,0.470292,0.622858,0.387282,0.491065,0.671702,0.322175,0.000000,1.000000,0.000000,1.000000,0.000000,0.202505
bird-song,dst-pll,0.8,10,0,0.803374,0.653924,0.773227,0.605685,0.078802,0.056338,0.635448,0.418511,0.934628,0.918269,0.916659,0.891105,0.209242
bird-song,dst-pll,0.8,10,1,0.804682,0.689829,0.775604,0.641851,0.082306,0.056395,0.625220,0.414904,0.942432,0.978155,0.926785,0.967436,0.219328
bird-song,dst-pll,0.8,10,2,0.794865,0.680765,0.764888,0.630381,0.083816,0.073515,0.628744,0.401813,0.939552,0.962406,0.923348,0.945455,0.224830
bird-song,dst-pll,0.8,10,3,0.803423,0.668681,0.773660,0.620380,0.088346,0.062437,0.639064,0.407855,0.938952,0.920988,0.922421,0.896654,0.230720
bird-song,dst-pll,0.8,10,4,0.810722,0.696878,0.783384,0.649026,0.078530,0.051360,0.624717,0.411883,0.937550,0.965770,0.920785,0.950911,0.233854
bird-song,dst-pll,0.8,100,0,0.808157,0.552314,0.781893,0.496356,0.016868,0.370221,0.392497,0.151911,0.991661,1.000000,0.984185,0.000000,1.095939
bird-song,dst-pll,0.8,100,1,0.797382,0.587110,0.770991,0.523721,0.014347,0.326284,0.393405,0.170191,0.992322,1.000000,0.986275,0.000000,1.190434
bird-song,dst-pll,0.8,100,2,0.796879,0.551863,0.770241,0.487206,0.014850,0.349446,0.382079,0.162135,0.994730,1.000000,0.990162,0.000000,1.224956
bird-song,dst-pll,0.8,100,3,0.800403,0.566969,0.773801,0.510606,0.013340,0.357503,0.393154,0.125881,0.992318,1.000000,0.985664,0.000000,1.255923
bird-song,dst-pll,0.8,100,4,0.800403,0.591138,0.775586,0.532738,0.014095,0.330312,0.374528,0.162135,0.994624,1.000000,0.989745,0.000000,1.242867
bird-song,dst-pll,0.8,11,0,0.799597,0.656942,0.768911,0.610023,0.071752,0.046278,0.641490,0.421529,0.937206,0.918854,0.920182,0.893280,0.207613
bird-song,dst-pll,0.8,11,1,0.809967,0.690836,0.781931,0.643315,0.073999,0.040282,0.627989,0.408862,0.941884,0.980296,0.926263,0.970412,0.231065
bird-song,dst-pll,0.8,11,2,0.795620,0.686808,0.766086,0.637434,0.075258,0.054381,0.633023,0.402820,0.940358,0.965000,0.924538,0.949528,0.224671
bird-song,dst-pll,0.8,11,3,0.803423,0.672709,0.773804,0.625548,0.081299,0.052367,0.645608,0.406848,0.940741,0.930693,0.925041,0.909095,0.265349
bird-song,dst-pll,0.8,11,4,0.806695,0.694864,0.778807,0.647786,0.074251,0.042296,0.628744,0.397784,0.938351,0.964557,0.922053,0.948334,0.237422
bird-song,dst-pll,0.8,12,0,0.803122,0.668008,0.773326,0.622567,0.063192,0.045272,0.644008,0.411469,0.939406,0.921760,0.923202,0.896430,0.221090
bird-song,dst-pll,0.8,12,1,0.812233,0.690836,0.784406,0.643984,0.066952,0.035247,0.630003,0.402820,0.942469,0.980000,0.927097,0.969764,0.229369
bird-song,dst-pll,0.8,12,2,0.796627,0.702920,0.767326,0.655860,0.072489,0.038268,0.634281,0.399799,0.939286,0.967254,0.923240,0.952509,0.247551
bird-song,dst-pll,0.8,12,3,0.803675,0.687815,0.774463,0.642604,0.072993,0.040282,0.644853,0.402820,0.940671,0.940000,0.924945,0.921217,0.227397
bird-song,dst-pll,0.8,12,4,0.804682,0.687815,0.776552,0.639435,0.064687,0.038268,0.631764,0.396777,0.937450,0.964467,0.921127,0.948343,0.239648
bird-song,dst-pll,0.8,13,0,0.803625,0.678068,0.773834,0.634794,0.059668,0.032193,0.642749,0.402414,0.939287,0.925000,0.923045,0.900090,0.230027
bird-song,dst-pll,0.8,13,1,0.815505,0.693857,0.788640,0.647342,0.062925,0.031219,0.632771,0.400806,0.943119,0.977387,0.928106,0.965810,0.254744
bird-song,dst-pll,0.8,13,2,0.801410,0.695871,0.772743,0.648235,0.063680,0.028197,0.634533,0.392749,0.941293,0.964103,0.925863,0.947299,0.233720
bird-song,dst-pll,0.8,13,3,0.808709,0.681772,0.780235,0.636477,0.065442,0.026183,0.644601,0.397784,0.943381,0.941772,0.928342,0.922941,0.238516
bird-song,dst-pll,0.8,13,4,0.807450,0.704935,0.779870,0.659490,0.061918,0.026183,0.631764,0.392749,0.938645,0.971795,0.922804,0.958825,0.255121
bird-song,dst-pll,0.8,14,0,0.809416,0.677062,0.780889,0.634191,0.050352,0.022133,0.641742,0.397384,0.938015,0.929114,0.921438,0.904970,0.231466
bird-song,dst-pll,0.8,14,1,0.818022,0.689829,0.791653,0.642795,0.058646,0.022155,0.631261,0.393756,0.946571,0.979540,0.932348,0.968729,0.252411
bird-song,dst-pll,0.8,14,2,0.801158,0.691843,0.772540,0.643669,0.055374,0.025176,0.631513,0.390735,0.941411,0.963918,0.925958,0.946806,0.250194
bird-song,dst-pll,0.8,14,3,0.811477,0.682779,0.783586,0.637780,0.058646,0.022155,0.642839,0.393756,0.944792,0.943734,0.930078,0.924988,0.257229
bird-song,dst-pll,0.8,14,4,0.806947,0.694864,0.779454,0.648562,0.052605,0.018127,0.628744,0.393756,0.942354,0.969309,0.927399,0.955312,0.263875
bird-song,dst-pll,0.8,15,0,0.807150,0.685111,0.778340,0.643986,0.042548,0.021127,0.638721,0.385312,0.937722,0.934726,0.920929,0.911520,0.233241
bird-song,dst-pll,0.8,15,1,0.817518,0.692850,0.791190,0.647022,0.053864,0.015106,0.631009,0.379658,0.946949,0.978780,0.932828,0.966461,0.233893
bird-song,dst-pll,0.8,15,2,0.803675,0.690836,0.775284,0.641765,0.052857,0.021148,0.631009,0.390735,0.940566,0.963918,0.924978,0.947022,0.259905
bird-song,dst-pll,0.8,15,3,0.813994,0.682779,0.786582,0.638291,0.051850,0.020141,0.643594,0.385700,0.946422,0.953003,0.932196,0.936896,0.267539
bird-song,dst-pll,0.8,15,4,0.804682,0.705942,0.777178,0.661581,0.049333,0.021148,0.623207,0.383686,0.944669,0.973753,0.930108,0.961188,0.282842
